school,lat,lng
民生國小,25.056685,121.552293
萬福國小,25.005077,121.536701
泉源國小,25.152752,121.52386
蓬萊國小,25.056308,121.516442
關渡國小,25.12671,121.466247
明德國小,25.112455,121.521813
石牌國小,25.116064,121.511864
信義國小,25.031867,121.563208
逸仙國小,25.138691,121.505189
富安國小,25.106139,121.482608
大同國小,25.066025,121.516855
東園國小,25.023299,121.497946
芝山國小,25.110609,121.536429
仁愛國小,25.039111,121.551934
華江國小,25.034392,121.491279
大理國小,25.031458,121.493064
雙蓮國小,25.060472,121.516674
福林國小,25.099038,121.529644
龍安國小,25.024202,121.534943
玉成國小,25.05402,121.594641
吉林國小,25.054953,121.529316
劍潭國小,25.080235,121.522877
興雅國小,25.047097,121.569904
銘傳國小,25.014345,121.535411
敦化國小,25.049517,121.548589
私立復興實驗中學,25.039734,121.548364
大佳國小,25.073727,121.536368
雨農國小,25.105583,121.529921
潭美國小,25.06083,121.590359
興德國小,25.00187,121.550819
興華國小,25.000021,121.558904
南湖國小,25.068165,121.611559
永吉國小,25.043281,121.579912
私立再興小學,24.989907,121.558094
福德國小,25.03921,121.586646
雨聲國小,25.103861,121.534889
新生國小,25.03015,121.533615
萬大國小,25.023847,121.499654
陽明山國小,25.12017,121.552796
清江國小,25.127122,121.507482
健康國小,25.056989,121.562781
舊莊國小,25.040619,121.619513
葫蘆國小,25.083927,121.507797
南港國小,25.057415,121.610595
河堤國小,25.023204,121.522225
內湖國小,25.079467,121.58023
博愛國小,25.036663,121.570418
文昌國小,25.099669,121.521328
東湖國小,25.06957,121.616082
麗山國小,25.083828,121.572464
木柵國小,24.990537,121.57019
懷生國小,25.045547,121.54181
東新國小,25.056275,121.602115
三興國小,25.029749,121.558272
西園國小,25.026964,121.498801
民族國小,25.05995,121.551812
文湖國小,25.086292,121.560205
平等國小,25.129764,121.576569
萬興國小,24.99025,121.576732
